aba 阿爸
daicao 带操
daicier 带刺儿
daidian 带电
daidong 带动
daidui 带队
daihaoer 带好儿
daihua 带话
daijun 带菌
dailei 带累
dailing 带领
dailu 带路
daitou 带头
daitouren 带头人
daitouyang 带头羊
daitudi 带徒弟
daiyou 带有
daiyu 带鱼
daizhuang 袋装
daipin 待聘
daicha 待查
daichan 待产
daiding 待定
daifa 待发
daigang 待岗
daiji 待机
daijiaergu 待价而沽
daijian 待建
daikao 待考
daiming 待命
daipi 待批
daixu 待续
daiye 待业
daiduo 怠惰
daigong 怠工
daiman 怠慢
daimao 玳瑁
daifang 贷方
daikuan 贷款
daigaomao 戴高帽
daigaomaozi 戴高帽子
dailvmao 戴绿帽
dailvmaozi 戴绿帽子
daimaozi 戴帽子
daisheng 戴胜
daizuiligong 戴罪立功
dandu 丹毒
dan 掸
dandinghe 丹顶鹤
danfang 丹方
danfengyan 丹凤眼
dangui 单轨
danqing 蛋青
dansha 丹砂
danshen 丹参
dantian 丹田
danxin 丹心
danxianer 单弦儿
danxing 单姓
danbai 单摆
danbang 单帮
danbei 单被
danbian 单边
danbing 单兵
danbo 淡泊
danchan 单产
danche 单车
dancheng 担承
danchuan 单传
danchun 单纯
danci 单词
danda 单打
dandayi 单打一
dandan 眈眈
dandaoyiru 单刀宜入
dandiao 单调
danfa 单发
danfangmian 单方面
danfangji 单放机
danfu 单幅
dangan 单干
danganhu 单干户
dangang 单杠
dangeer 单个儿
danguo 单过
danhao 单号
danhuangguan 单簧管
danji 蛋鸡
danjidao 单季稻
danjia 单价
danjian 单间
danju 单句
danke 弹壳
dankouxiangsheng 单口相声
danku 单裤
danli 单利
danlian 单恋
danlie 单列
danling 单另
danming 单名
danqiangpima 单枪匹马
danqin 单亲
danren 单人
danrenchuang 单人床
danrenhua 单人滑
danrenwu 单人舞
danruo 单弱
danse 单色
danshenguizu 单身贵族
danshenhan 单身汉
danshu 但书
danshuo 单说
dantiao 单挑
danwei 单位
danxian 单线
danxiang 单相
danxiangsi 单相思
danxie 单鞋
danxingben 单行本
danxingxian 单行线
danyanpi 单眼皮
danyi 单衣
danyong 单用
danyuan 单元
danyuanfang 单元房
danyuanlou 单元楼
danyuanmen 单元门
danzi 掸子
danbao 担保
danbaoren 担保人
dandai 担待
dandanmian 担担面
dandang 担当
danjingshoupa 担惊受怕
danyou 担忧
dange 耽搁
danwu 耽误
danjingjielv 殚精竭虑
dandabaotian 胆大包天
dandawangwei 胆大妄为
dandaxinxi 胆大心细
dandao 弹道
danguchun 胆固醇
danguan 胆管
danhan 胆寒
danjieshi 胆结石
danliang 胆量
danlve 胆略
dannang 胆囊
dannangyan 胆囊炎
danpo 胆魄
danqi 胆气
danqie 胆怯
danshi 胆识
danxiao 胆小
danxiaogui 胆小鬼
danxiaopashi 胆小怕事
danxiaorushu 胆小如鼠
danxu 胆虚
danzhanxinjing 胆战心惊
danzhi 胆汁
danzhuang 胆壮
danjueer 旦角儿
danxi 旦夕
danxihuofu 旦夕祸福
danfan 但凡
danchen 诞辰
dansheng 诞生
dangangqin 弹钢琴
dangong 弹弓
danhen 弹痕
danjinliangjue 弹尽粮绝
dankeng 弹坑
dankong 弹孔
danpian 弹片
dantang 弹膛
dantou 弹头
danwan 弹丸
danwanzhidi 弹丸之地
danwuxufa 弹无虚发
danyao 弹药
danzifang 弹子房
danhuang 蛋黄
danchu 淡出
danerwuwei 淡而无味
danhong 淡红
danhua 淡话
danlv 淡绿
danmo 淡漠
danran 淡然
danru 淡入
danshui 淡水
danshuiyu 淡水鱼
danwang 淡忘
danya 蛋鸭
danzhuangnongmo 淡妆浓抹
danbainiao 蛋白尿
danbaizhi 蛋白质
danchaofan 蛋炒饭
danfen 蛋粉
dangao 蛋糕
dangeng 蛋羹
danjing 蛋品
danjuaner 蛋卷儿
danfei 氮肥
dang 裆
dangxian 当先
dangzi 当子
dangban 挡板
dangbing 当兵
dangbuqi 当不起
dangchai 当差
dangchang 当场
dangchu 荡除
dangdai 当代
dangdao 当道
dangdi 荡涤
danggui 党规
danghong 当红
dangjiliduan 当机立断
dangji 党纪
dangjia 挡驾
dangjiade 当家的
dangjiaren 当家人
dangjianer 当间儿
dangjie 当街
dangjin 当紧
dangju 当局
dangkong 当空
dangkouer 当口儿
danglang 当啷
dangling 当令
danglu 当路
dangmian 当面
dangnian 当年
dangqian 当前
dangquan 当权
dangquanpai 当权派
dangran 当然
dangrenburang 当仁不让
dangri 当日
dangshi 当世
dangshiren 当事人
dangtang 当堂
dangting 当庭
dangtoubanghe 当头棒喝
dangtouyibang 当头一棒
dangwu 当午
dangwuzhiji 当务之急
dangxia 当下
dangxin 党心
dangxiong 当胸
dangxuan 当选
dangzheng 党证
dangzhiwukui 当之无愧
dangzhi 当值
dangzhong 当众
dangzhongjianer 当中间儿
dangzuo 当作
dangtian 当天
dangtou 当头
dangye 当夜
dangche 挡车
dangchegong 挡车工
dangfeng 挡风
dangjianpai 挡箭牌
dangniban 挡泥板
dangbagu 党八股
dangbao 党报
dangdaibiao 党代表
dangdaihui 党代会
dangfei 党费
danggang 党纲
danggun 党棍
danghui 党徽
dangjian 党建
dangkan 党刊
dangke 党课
dangkui 党魁
dangpai 党派
dangpiao 党票
dangqi 党旗
dangqun 党群
dangshen 党参
dangtongfayi 党同伐异
dangtu 党徒
dangtuan 党团
dangtuanyuan 党团员
dangwei 党委
dangxiao 党校
dangxing 党性
dangyu 党羽
dangyuan 党员
dangzhang 党章
dangzhenggongtuan 党政工团
dangzhibu 党支部
dangzhongyang 党中央
dangzongzhi 党总支
dangzu 党组
dangzuzhi 党组织
dangcheng 当成
dangdang 当当
dangpu 当铺
dangwan 当晚
dangyue 当月
dangzhen 当真
dangfu 荡妇
dangping 荡平
dangqihuichang 荡气回肠
dangranwucun 荡然无存
dangyang 荡漾
dangzhou 荡舟
dangci 档次
daodou 刀豆
daopian 刀片
dao 捯
daobaer 刀把儿
daobazi 刀把子
daobei 刀背
daobi 刀笔
daobing 刀兵
daocha 道岔
daofa 刀法
daofeng 刀锋
daofushou 刀斧手
daogenghuozhong 刀耕火种
daoguangjianying 刀光剑影
daojia 刀架
daoju 刀具
daokou 倒扣
daomadan 刀马旦
daoqiang 刀枪
daoqiangburu 刀枪不入
daoren 道人
daoshan 刀山
daoshang 刀伤
daoxiaomian 刀削面
daozi 道子
daozizui 刀子嘴
daolao 叨唠
daodao 叨叨
daonian 叨念
daogu 捣鼓
daodan 捣蛋
daodian 到点
daodu 导读
daogou 导购
daoguan 倒灌
daoban 导板
daobao 导报
daochu 导出
daogui 导轨
daohang 导航
daohangtai 导航台
daohangyuan 导航员
daohuosuo 导火索
daohuoxian 导火线
daoliu 倒流
daolun 导论
daoniao 导尿
daore 导热
daoshi 道士
daoti 倒替
daoxian 导线
daoxiang 导向
daoyan 悼唁
daoyin 导因
daoyou 导游
daoyu 导语
daoyuan 导源
daozhen 导诊
daozhi 到职
daoguo 岛国
daoye 倒爷
daochabi 倒插笔
daochui 倒垂
daofu 倒伏
daoge 倒阁
daohuan 倒换
daohui 倒汇
daojiao 倒嚼
daomaidaomai 倒买倒卖
daomai 盗卖
daomei 倒霉
daonong 倒弄
daopiao 倒票
daoshou 倒手
daosuo 倒锁
daota 倒塌
daotai 倒台
daotan 倒坍
daoteng 捣腾
daotou 倒头
daoweikou 倒胃口
daoxiu 倒休
daoya 倒牙
daoyun 盗运
daozhang 倒账
daozhuang 倒装
daoluan 捣乱
daogao 祷告
daowen 祷文
daozhu 祷祝
daozhuan 倒转
daochunhan 倒春寒
daozuo 倒座
daopei 倒赔
daoying 倒映
daobeiruliu 倒背如流
daocai 倒彩
daochamen 倒插门
daoche 倒车
daoci 倒刺
daodayipa 倒打一耙
daogua 倒挂
daoguoweiyin 倒果为因
daohaoer 倒好儿
daojishi 倒计时
daoli 倒立
daoshu 倒数
daosuan 倒算
daotie 倒贴
daotui 倒退
daoxingnishi 倒行逆施
daoxu 倒序
daoxuan 倒悬
daozaicong 倒栽葱
daozhao 倒找
daoan 盗案
daochang 道场
daoda 到达
daodi 道地
daoding 道钉
daofang 到访
daolai 到来
daoqi 到期
daoting 到庭
daotoulai 到头来
daowei 到位
daozhan 到站
daowang 悼亡
daofei 盗匪
daohan 盗汗
daojie 盗劫
daojue 盗掘
daolie 盗猎
daoming 盗名
daomu 盗墓
daoqie 盗窃
daoqu 盗取
daoyong 盗用
daozei 盗贼
daode 道德
daobai 道白
daobie 道别
daobushiyi 道不拾遗
daodaoer 道道儿
daohe 道贺
daoheng 道行
daolinzhi 道林纸
daolu 道路
daomaoanran 道貌岸然
daopao 道袍
daopo 道破
daoqian 道歉
daoqing 道情
daotingtushuo 道听途说
daotong 道统
daoxi 道喜
daoxie 道谢
daoxue 道学
daoxuexiansheng 道学先生
daoyi 道义
daozang 道藏
daomiao 稻苗
daotian 稻田
daowenbing 稻瘟病
daoyang 稻秧
daosui 稻穗
daozhong 稻种
daoke 稻壳
daomi 稻米
daocao 稻草
daocaoren 稻草人
daokang 稻糠
de 得
debian 得便
debing 得病
debuchangshi 得不偿失
decheng 得逞
dechong 得宠
decunjinchi 得寸进尺
dedang 得当
dedao 得道
deerfushi 得而复失
defa 得法
defen 得分
deguoqieguo 得过且过
deji 得济
dejiang 得奖
dejin 得劲
dejiu 得救
dekong 得空
deli 得力
delian 得脸
dele 得了
deliao 得了
delongwangshu 得陇望蜀
deqisuozai 得其所哉
derenxin 得人心
desheng 得胜
deshi 得时
deshou 得手
deshu 得数
deti 得体
detianduhou 得天独厚
dexi 得悉
dexian 得闲
dexinyingshou 得心应手
deyi 得宜
deyiwangxing 得意忘形
deyiyangyang 得意洋洋
deyong 得用
dezhi 得志
dezhu 得主
dezui 得罪
dexing 德性
deangzu 德昂族
decaijianbei 德才兼备
degaowangzhong 德高望重
deguo 德国
deyu 德语
dezheng 德政
dezhiti 德智体
deikui 得亏
den 扽
dengyou 灯油
dengtai 灯台
dengtou 灯头
dengxiang 灯箱
denghongjiulv 灯红酒绿
dengxin 灯芯
dengpao 灯泡
dengxinrong 灯芯绒
dengzhan 灯盏
dengzhao 灯罩
dengzuo 灯座
deng 噔
dengbiao 灯标
dengcai 灯彩
dengcao 灯草
denge 灯蛾
dengguan 灯管
dengguang 灯光
denghua 灯花
denghui 灯会
denghuo 灯火
dengjie 灯节
dengju 等距
denglianger 灯亮儿
denglong 灯笼
denglongku 灯笼裤
dengmi 灯谜
dengshi 等式
dengsi 灯丝
dengta 灯塔
dengan 登岸
dengbao 登报
dengchang 登场
dengcheng 登程
dengding 登顶
dengfengzaoji 登峰造极
denggao 登高
dengji 登基
dengjibiao 登记表
dengjice 登记册
denglin 登临
denglu 登录
denglujian 登陆舰
dengluting 登陆艇
dengmen 登门
dengpan 登攀
dengshan 登山
dengshanfu 登山服
dengtangrushi 登堂入室
dengyue 登月
dengzai 登载
dengtui 蹬腿
dengsu 等速
dengbuji 等不及
dengcha 等差
dengci 等次
dengdai 等待
dengdao 等到
dengdeng 等等
dengerxiazhi 等而下之
dengfen 等份
denghao 等号
denghou 等候
dengjizhi 等级制
dengjia 等价
dengjiawu 等价物
dengjuli 等距离
dengliang 等量
dengliangqiguan 等量齐观
dengmixiaguo 等米下锅
dengshen 等身
dengtong 等同
dengwai 等外
dengwaipin 等外品
dengwen 等温
dengxian 等闲
dengxianshizhi 等闲视之
dengxiao 等效
dengyu 等于
dengzhi 等值
dengqing 澄清
dengxiaopinglilun 邓小平理论
dengzi 凳子
dengyan 瞪眼
diceng 低层
didu 低度
di 籴
diai 低矮
dibao 地堡
dichan 低产
dichao 低潮
dichen 低沉
dichu 涤除
dichui 低垂
didang 涤荡
dideng 低等
didengdongwu 低等动物
didiao 低调
diduan 底端
difen 低分
digu 骶骨
dihao 低耗
dihuan 低缓
dihui 低回
diji 地极
dijia 底价
dijian 敌舰
dikong 低空
dili 低利
dilian 低廉
dilie 低劣
diluo 滴落
dimeishunyan 低眉顺眼
dimi 低迷
dineng 低能
dinenger 低能儿
dinianji 低年级
dipin 低频
diping 低平
dire 低热
disanxiasi 低三下四
dishao 低烧
dishengxiaqi 低声下气
dishi 低湿
disu 低速
ditang 滴淌
ditou 地头
diwa 低洼
diwei 敌伪
diweidu 低纬度
diwen 地温
dixi 嫡系
dixia 地峡
dixian 低陷
dixuetang 低血糖
dixueya 低血压
diya 低哑
diyan 堤堰
diyin 低音
diyou 敌友
diyu 低语
dizhi 低质
dian 佃
diba 迪吧
difang 敌方
dida 嘀嗒
dishuibulou 滴水不漏
dichong 滴虫
dicui 滴翠
diditi 滴滴涕
diguan 滴管
diliuliu 滴溜溜
diliuyuan 滴溜圆
dilou 地漏
dishui 滴水
dishuichengbing 滴水成冰
dishuichuanshi 滴水穿石
diqueliang 的确良
dique 的确
disike 迪斯科
disinileyuan 迪斯尼乐园
diting 迪厅
dikou 敌寇
diwo 敌我
didiwei 敌敌畏
didui 敌对
diguo 敌国
dihou 敌后
dijing 敌境
dijun 帝君
diqing 敌情
diqiu 敌酋
diqu 敌区
diren 敌人
dishou 敌手
ditai 敌台
dite 敌特
diyi 地衣
dizhanqu 敌占区
dizhen 敌阵
dika 涤卡
dilun 涤纶
dimian 涤棉
dimo 笛膜
dizi 嫡子
dichuan 嫡传
dipai 嫡派
diqin 地勤
dizhangzi 嫡长子
diban 底版
diben 底本
dibian 递变
dibu 抵补
dicang 底舱
dice 底册
difei 底肥
digao 底稿
dihuo 底火
dijin 底襟
dipan 底盘
dipian 底片
diqi 底漆
dise 底色
dishang 底墒
dishu 底数
dixiaren 底下人
dixin 底薪
diyang 底样
diyun 底蕴
dizhang 抵账
dizuo 底座
diwu 抵牾
dizui 抵罪
dibushang 抵不上
dichang 抵偿
dideshang 抵得上
dijiao 缔交
dikang 抵抗
dilai 抵赖
diming 抵命
disi 抵死
dixiao 抵销
diyajin 抵押金
diyapin 抵押品
dizhai 抵债
dizhu 砥柱
didai 地带
ditan 地毯
dizheng 地政
dibange 地板革
dibanzhuan 地板砖
dibang 地磅
dibiao 地表
dibiaoshui 地表水
dici 地磁
didawubo 地大物博
didao 地道
didian 地点
didong 地洞
didongyi 地动仪
dier 地儿
difangbing 地方病
difangshui 地方税
difangxi 地方戏
difangzhi 地方志
difangzhuyi 地方主义
difangguan 地方官
difanghua 地方话
difu 地府
digeng 地埂
digong 地宫
digou 地沟
diguangrenxi 地广人稀
dihe 地核
dijie 递解
dijiutianchang 地久天长
dikuaier 地块儿
dikuang 地矿
dilao 地牢
dilaohu 地老虎
dilaotianhuang 地老天荒
dilei 地雷
dilingrenjie 地灵人杰
dilong 地垄
dimai 地脉
dimao 地貌
dimianzhan 地面站
dimu 地亩
dipi 地痞
dipingxian 地平线
dipu 地铺
diqiao 地壳
diqiucun 地球村
diqiuyi 地球仪
diquan 地权
ditaner 地摊儿
ditie 地铁
ditoushe 地头蛇
ditu 地图
dixiadang 地下党
dixiagongchang 地下工厂
dixiashi 地下室
dixiashui 地下水
dixing 地形
dixingtu 地形图
diyinzi 地窨子
diyuan 地缘
dizhenbo 地震波
dizhendai 地震带
dizhenpeng 地震棚
dizhenyi 地震仪
dizhuan 地砖
dizu 地租
didi 弟弟
dimei 弟妹
dixiong 弟兄
diguozhuyi 帝国主义
diwang 帝王
diwangjiangxiang 帝王将相
dijiang 递降
disheng 递升
disong 递送
ditiaozi 递条子
diyanse 递眼色
dizeng 递增
dierchanye 第二产业
dierketang 第二课堂
dierrencheng 第二人称
diertidui 第二梯队
dierzhiye 第二职业
disanchanye 第三产业
disanrencheng 第三人称
disanshijie 第三世界
disantidui 第三梯队
disanzhe 第三者
diyibashou 第一把手
diyichanye 第一产业
diyifuren 第一夫人
diyiliu 第一流
diyirencheng 第一人称
diyishijian 第一时间
diyishou 第一手
diyixian 第一线
diyixing 第一性
diyue 缔约
diyueguo 缔约国
dizao 缔造
dia 嗲
dianliang 掂量
dianju 滇剧
diandaoshifei 颠倒是非
dianbo 点拨
diandao 颠倒
diandaoheibai 颠倒黑白
dianfu 电复
dianlaidaoqu 颠来倒去
dianpeiliuli 颠沛流离
dianpubupo 颠扑不破
dianqie 颠茄
diansandaosi 颠三倒四
dianfeng 巅峰
dianxian 癫痫
diankuang 癫狂
dianxinghua 典型化
diance 典册
diandang 典当
dianfan 典范
diangu 典故
dianji 电击
dianli 电离
dianmai 典卖
dianxing 电刑
dianxingxing 典型性
dianya 典押
dianzhang 典章
dianchang 点唱
dianbing 点兵
diancai 点菜
dianchuan 点穿
diandeng 点灯
diandi 垫底
dianer 垫儿
dianfa 点发
diange 点歌
dianhua 垫话
dianhuo 点火
dianjiang 点将
dianjinshu 点金术
dianmao 点卯
dianming 点明
dianpao 点炮
dianping 电瓶
dianpo 点破
dianqiu 点球
dianran 点染
dianshe 点射
dianshichengjin 点石成金
dianshou 点收
dianshu 点数
dianti 点题
diantou 点头
diantouhayao 点头哈腰
diantouzhijiao 点头之交
dianxin 点心
dianxue 点穴
dianyan 电唁
dianzhen 点阵
dianzhong 电钟
dianzhui 点缀
dianzi 甸子
dianjiu 碘酒
dianjiao 踮脚
dianfanguo 电饭锅
dianhan 电函
dianhuaji 电话机
dianjian 电键
dianzixinxiang 电子信箱
dianxinhao 电信号
dianziyan 电子眼
dianyingyuan 电影院
dianziyinyue 电子音乐
dianziban 电子版
dianziyoujian 电子邮件
dianziqin 电子琴
dianziyouxiji 电子游戏机
dianzu 电阻
dianzuan 电钻
dianbao 电报
dianbaoju 电报局
dianbi 电笔
dianbiao 电表
dianbingxiang 电冰箱
dianchangji 电唱机
dianche 电车
dianchi 电池
dianchuifeng 电吹风
dianci 电磁
diancibo 电磁波
diancichang 电磁场
diancilu 电磁炉
diancitie 电磁铁
dianciwuran 电磁污染
dianda 电大
diandengpao 电灯泡
diandong 店东
diandongji 电动机
diandongtixudao 电动剃须刀
diandu 电镀
diandubiao 电度表
dianfei 电费
dianfengshan 电风扇
diangan 电杆
diangao 电告
diangong 电工
diangonglv 电功率
dianguan 电灌
dianguang 电光
dianhanji 电焊机
dianhao 电耗
dianhe 电贺
dianhu 电弧
dianhuabu 电话簿
dianhuahuiyi 电话会议
dianhuajiaoyu 电化教育
dianhuaju 电话局
dianhuating 电话亭
dianhui 电汇
dianhuoguo 电火锅
dianhuohua 电火花
dianjiaoguan 电教馆
dianjie 电解
dianjinggun 电警棍
diankaolu 电烤炉
diankaoxiang 电烤箱
dianlan 靛蓝
dianlaotie 电烙铁
dianliceng 电离层
dianliwang 电力网
dianlixian 电力线
dianliao 电料
dianling 电铃
dianliu 电流
dianlu 电炉
dianluban 电路板
dianlutu 电路图
dianma 电码
dianmaichong 电脉冲
dianmen 电门
dianmo 电磨
diannao 电脑
dianneng 电能
dianniu 电钮
diannuanqi 电暖器
dianpingche 电瓶车
dianqi 电气
dianqihua 电气化
dianre 电热
dianrebei 电热杯
dianreqi 电热器
dianreshuiqi 电热水器
dianretan 电热毯
dianrong 电容
dianruzi 电褥子
dianshan 电扇
diansheng 电声
dianshengyuedui 电声乐队
dianshi 电示
dianshidaxue 电视大学
dianshigui 电视柜
dianshiji 电视机
dianshiju 电视剧
dianshipian 电视片
dianshipindao 电视频道
dianshita 电视塔
dianshitai 电视台
dianshiwang 电视网
dianshuihu 电水壶
diansuan 电算
diantai 电台
diantang 电烫
diantong 电筒
dianwang 电网
dianwen 电文
dianxiangan 电线杆
dianxinju 电信局
dianxun 电讯
dianyi 电椅
dianying 电影
dianyingpian 电影片
dianyingting 电影厅
dianyingzhou 电影周
dianyuan 店员
dianyundou 电熨斗
dianzao 电灶
dianzha 电闸
dianzhan 电站
dianzhu 电珠
dianzibiao 电子表
dianzicheng 电子秤
dianzichubanwu 电子出版物
dianzicidian 电子词典
dianziguan 电子管
dianzihuikuan 电子汇款
dianzihuobi 电子货币
dianzijisuanji 电子计算机
dianzilaji 电子垃圾
dianzishangwu 电子商务
dianzitushu 电子图书
dianziwanju 电子玩具
dianzixianweijing 电子显微镜
dianke 佃客
diannong 佃农
dianjia 店家
dianmian 店面
dianpu 店铺
dianxiaoer 店小二
dianban 垫板
dianbei 垫背
dianbu 垫补
dianjiaoshi 垫脚石
diankuan 垫款
dianquan 垫圈
dianzhi 垫支
dianru 玷辱
dianwu 玷污
diannian 惦念
dianfen 淀粉
dianding 奠定
dianjiren 奠基人
dianjishi 奠基石
dianhou 殿后
dianjun 殿军
dianxia 殿下
dianyu 殿宇
dianqing 靛青
diao 貂
diaoheng 刁横
diaohua 刁滑
diaoman 刁蛮
diaomin 刁民
diaonan 刁难
diaowan 刁顽
diaozuan 刁钻
diaozuanguguai 刁钻古怪
diaobi 凋敝
diaobai 凋败
diaocan 凋残
diaoling 调令
diaoluo 凋落
diaowei 凋萎
diaoxie 凋谢
diaopi 貂皮
diaobao 调包
diaolou 吊楼
diaoxiang 雕像
diaoban 雕版
diaochongxiaoji 雕虫小技
diaoke 雕刻
diaolianghuadong 雕梁画栋
diaolianghuazhu 雕梁画柱
diaoqi 雕漆
diaoshi 雕饰
diaosu 雕塑
diaozao 雕凿
diaozhuo 雕琢
diaojiaolou 吊脚楼
diaokou 吊扣
diaolan 吊兰
diaoerlangdang 吊儿郎当
diaominfazui 吊民伐罪
diaopu 吊铺
diaoqiao 吊桥
diaoqiu 吊球
diaosang 吊丧
diaosangzi 吊嗓子
diaoche 吊车
diaochuang 吊床
diaoda 吊打
diaodai 吊带
diaodeng 吊灯
diaoding 吊顶
diaogan 吊杆
diaogou 吊钩
diaohuan 吊环
diaoji 吊祭
diaoshan 吊扇
diaosigui 吊死鬼
diaotong 吊桶
diaoweikou 吊胃口
diaoxian 吊线
diaoxiao 吊孝
diaoyan 调演
diaozhuang 吊装
diaozi 吊子
diaoer 钓饵
diaoju 钓具
diaoyu 钓鱼
diaoyugan 钓鱼竿
diaobingqianjiang 调兵遣将
diaobo 调拨
diaocha 调查
diaochazu 调查组
diaodang 调档
diaodiao 调调
diaodong 调动
diaodu 调度
diaoduyuan 调度员
diaofang 调防
diaohan 调函
diaohulishan 调虎离山
diaoli 调离
diaomener 调门儿
diaopai 调派
diaoqian 调遣
diaoren 调任
diaoseban 调色板
diaoxiu 调休
diaoyanyuan 调研员
diaoyong 调用
diaoyue 调阅
diaoyun 调运
diaozhi 调职
diaozhuan 调转
diaopei 调配
diaobiao 掉膘
diaodianer 掉点儿
diaodui 掉队
diaoguoer 掉过儿
diaojia 掉价
diaoshai 掉色
diaoshudai 掉书袋
diaotou 掉头
diaoyiqingxin 掉以轻心
die 碟
diedie 爹爹
diema 爹妈
dieniang 爹娘
diedawan 跌打丸
diedang 跌宕
diediezhuangzhuang 跌跌撞撞
diefu 跌幅
diejia 跌价
diejiao 跌跤
dieluo 跌落
dieshi 跌势
diezu 跌足
diezuo 跌坐
diechu 迭出
dieci 迭次
dieqi 迭起
diebao 谍报
diediebuxiu 喋喋不休
diexue 喋血
diechuangjiawu 叠床架屋
diecui 叠翠
diefang 叠放
diehe 叠合
dieluohan 叠罗汉
dieyin 叠印
dieyun 叠韵
diezhang 叠嶂
diezi 碟子
dieyong 蝶泳
diexie 蹀躞
ding 疔
dingdianer 丁点儿
dingke 丁克
dingling 丁零
dingxiang 定项
dingxianghua 丁香花
dingzijie 丁字街
dingzixing 丁字形
dingdang 定当
dingdong 叮咚
dingning 叮咛
dingwen 叮问
dingyao 叮咬
dingzhu 叮嘱
dingshi 顶事
dingshao 盯梢
dingchui 钉锤
dingluo 钉螺
dingpa 钉耙
dingxie 钉鞋
dingzi 锭子
dingzihu 钉子户
dingzhen 顶针
dingtianlidi 顶天立地
dingtou 顶头
dingtoushangsi 顶头上司
dinggang 顶岗
dingyong 顶用
dingniuer 顶牛儿
dingzhang 顶账
dingzhuang 顶撞
dingzui 顶罪
dingban 顶班
dingceng 顶层
dingdeng 顶灯
dingdian 顶点
dingduan 顶端
dingduo 定夺
dingfeng 顶峰
dingge 顶格
dingguagua 顶呱呱
dingji 定计
dingjian 定见
dingjiao 顶角
dinglimobai 顶礼膜拜
dingliangzhu 顶梁柱
dinglou 顶楼
dingmengang 顶门杠
dingpeng 顶棚
dingshu 顶数
dingti 顶替
dingdingdaming 鼎鼎大名
dingfei 鼎沸
dingli 定礼
dinglixiangzhu 鼎力相助
dingsheng 鼎盛
dingxin 鼎新
dingzu 鼎足
dingzuzhishi 鼎足之势
dingdan 订单
dinggou 定购
dinghu 订户
dinghun 订婚
dinghuo 订货
dingjin 订金
dingpiao 订票
dingshuji 订书机
dingyue 订约
dingzheng 订正
dingzuo 订做
dingpanxing 定盘星
dingshizhadan 定时炸弹
dingxiangsheng 定向生
dingyu 定语
dingan 定案
dingbian 定编
dingchan 定产
dingdiaozi 定调子
dingdu 定都
dinge 定额
dinggao 定稿
dinggui 定规
dinghualun 定滑轮
dingjia 定价
dingjing 定睛
dingju 定局
dingliang 定量
dinglun 定论
dinglv 定律
dingming 定名
dingping 定评
dingqi 定期
dingqian 定钱
dingqin 定亲
dingqing 定情
dingran 定然
dingshen 定神
dingshiqi 定时器
dingwei 定位
dingxi 定息
dingxiangpeiyang 定向培养
dingxiangpeiyu 定向培育
dingxiao 定销
dingxinwan 定心丸
dingxing 定刑
dingyi 定义
dingyin 定音
dingying 定影
dingyuan 定员
dingze 定则
dingzhi 定制
dingzhun 定准
diu 丢
diuchou 丢丑
diudiao 丢掉
diufanwan 丢饭碗
diuhuang 丢荒
diukuiqijia 丢盔弃甲
diulian 丢脸
diumianzi 丢面子
diuqi 丢弃
diuren 丢人
diusanlasi 丢三落四
diushi 丢失
diuyanse 丢眼色
diuzubaoju 丢卒保车
dongzhengjiao 东正教
dong 氡
dongbanqiu 东半球
dongbei 东北
dongbeiya 东北亚
dongbenxizou 东奔西走
dongbian 东边
dongbu 东部
dongchuangshifa 东窗事发
dongchuang 东床
dongdaoxiwai 东倒西歪
dongdaoguo 东道国
dongdaozhu 东道主
dongfang 洞房
dongfangren 东方人
dongfei 东非
dongfeng 东风
donggong 冬宫
dongguoxiansheng 东郭先生
donghai 东海
donghan 冬寒
dongjia 东家
dongjin 东晋
dongjing 东经
donglaxiche 东拉西扯
donglinxizhao 东鳞西爪
dongmeng 东盟
dongmian 冬眠
dongnan 东南
dongnanya 东南亚
dongnuoxijie 东挪西借
dongou 东欧
dongpaoxidian 东跑西颠
dongpinxicou 东拼西凑
dongsansheng 东三省
dongshanzaiqi 东山再起
dongshixiaopin 东施效颦
dongtou 东头
dongwei 东魏
dongxi 洞悉
dongxiangzu 东乡族
dongya 东亚
dongyang 东洋
dongying 东瀛
dongzhangxiwang 东张西望
dongzhou 东周
donggu 冬菇
dongyong 冬泳
dongaohui 冬奥会
dongbula 冬不拉
dongcai 冬菜
dongcang 冬藏
dongchongxiacao 冬虫夏草
dongchu 冬储
donggua 冬瓜
dongguan 冬灌
donghong 冬烘
dongji 动机
donglian 冬练
dongling 冬令
donglingying 冬令营
dongmai 冬麦
dongqing 冬青
dongri 冬日
dongsun 冬笋
dongtian 洞天
dongxian 冬闲
dongxiaomai 冬小麦
dongxun 冬汛
dongyi 冬衣
dongyue 冬月
dongyunhui 冬运会
dongzhi 冬至
dongzhong 冬种
dongzhu 冬贮
dongzhuang 冬装
dongshi 董事
dongshihui 董事会
dongshizhang 董事长
dongde 懂得
donghang 懂行
dongyin 动因
dongbi 动笔
dongbing 冻冰
dongbudong 动不动
dongchan 动产
dongci 动词
dongcu 动粗
dongdang 动荡
dongganhuo 动肝火
donggan 动感
donghua 动画
donghuapian 动画片
donghuo 动火
dongkou 动口
dongli 动力
dongliji 动力机
dongluan 动乱
dongmaiyinghua 动脉硬化
dongman 动漫
dongnaojin 动脑筋
dongnaozi 动脑子
dongneng 动能
dongnu 动怒
dongqi 动气
dongqian 动迁
dongqianhu 动迁户
dongren 动人
