hai है
prokta प्रोक्त
jaayajaa जायजा
prokto प्रोक्तों
jaiso जैसों
gahaa गहा
gahaaiyo गहाइयो
tootanaa टूटना
gahaave गहावे
gahaaee गहाई
deyaradevilsa डेयरडेविल्स
gahaakara गहाकर
gahaanaa गहाना
taaumra ताउम्र
gahaane गहाने
taarika तारिक
gahaataa गहाता
tulanaatmaka तुलनात्मक
gahaatee गहाती
daphatara दफ़्तर
gahaate गहाते
damoha दमोह
gahaae गहाए
deerghaayu दीर्घायु
gahaaegaa गहाएगा
dhaarako धारकों
gahaaegee गहाएगी
nateejatana नतीजतन
gahaaege गहाएँगे
naaijeeriyaa नाइजीरिया
gahaaoo गहाऊँ
naachate नाचते
gahaaoogaa गहाऊँगा
gahaaoogee गहाऊँगी
naayara नायर
gahaaie गहाइए
gahaaiegaa गहाइएगा
nirarthaka निरर्थक
gahaaiegee गहाइएगी
nirbheeka निर्भीक
gahaao गहाओ
nuskhe नुस्खे
gahaaoge गहाओगे
naukaraanee नौकरानी
gahaaogee गहाओगी
padhe पढें
parichaayaka परिचायक
parvateeya पर्वतीय
paaramparika पारम्परिक
puchha पुछ
paitha पैठ
pradatta प्रदत्त
prabhaakara प्रभाकर
prabhaaga प्रभाग
praacheenakaala प्राचीनकाल
gahee गहीं
phirataa फिरता
gahe गहे
phutapaatha फुटपाथ
gaho गहों
bartano बर्तनों
pidaashma पिंडाश्म
ballebaajo बल्लेबाजों
shauki शौकि
bahuto बहुतों
ayanajeeta अयंनजीत
manekaa मनेका
bikhera बिखेर
bojhala बोझल
beejaapura बीजापुर
bhaagyalipi भाग्यलिपि
beemaariyaa बीमारियां
bukhaaree बुखारी
achalaraashi अचलराशि
bevaa बेवा
rimoraa रिमोरा
baigana बैंगन
abhautika अभौतिक
byauraa ब्यौरा
abhautikataa अभौतिकता
bhavara भंवर
bhikshaa भिक्षा
abhautiko अभौतिकों
majara मंज़ूर
yoorara फ़्यूरर
mausiyaa मौसिया
mahaphila महफिल
enhigaa एन्हिंगा
mahidraa महिंद्रा
dhoopaayita धूपायित
maadhavee माधवी
gaambiyaa गाम्बिया
maaratee मारती
haajeekara हाजीकर
haajeenaa हाजीना
milka मिल्क
haajeene हाजीने
mutha मुठ
haajeetaa हाजीता
muharrama मुहर्रम
haajeetee हाजीती
moorta मूर्त
haajeete हाजीते
haajeegaa हाजीगा
megha मेघ
haajeegee हाजीगी
haajeege हाजीँगे
haajeeoo हाजीऊँ
yooesae यूएसए
haajeeoogaa हाजीऊँगा
haajeeoogee हाजीऊँगी
raaiphalsa राइफल्स
raajapaala राजपाल
raamanaatha रामनाथ
rijarveshana रिजर्वेशन
reedara रीडर
lakhana लखन
laaine लाइनें
lutere लुटेरे
lutpha लुत्फ़
maaikelamasa माइकेलमस
graamyagriha ग्राम्यगृह
viketakeepara विकेटकीपर
vicha विच
hariddarbha हरिद्दर्भ
vidhiyo विधियों
mahaasphuravya महास्फुरव्य
vilena विलेन
thukathukaahata ठुकठुकाहट
chamaalee चमाली
chamatolee चमतोली
chamadolee चमडोली
ghanaasrataa घनास्रता
ghandiyaala घण्डियाल
grooma ग्रूम
graaphaka ग्राफ़िक
gagoobaaee गंगूबाई
gaureepura गौरीपुर
gaunaa गौणा
goshthiyo गोष्ठियों
gomateshvara गोमतेश्वर
gokulapura गोकुलपुर
gairaadee गैराडी
gaijetsa गैजेट्स
gethiyaa गेठिया
gulivarsa गुलिवर्स
gunanakhanda गुणनखण्ड
gaandhaaree गान्धारी
gavaanaa गवाणा
gaphphaara गफ्फार
ganeshashakara गणेशशंकर
gadhakota गढकोट
khadaalaa खंडाला
khomainee खोमैनी
khairolaa खैरोला
khoonaa खूना
khuro खुरों
khudaaiyo खुदाइयों
khataanee ख़ितानी
khareepha ख़रीफ़
kharagapura खरगपुर
khakaasa ख़कास
kvaateekarana क्वांटीकरण
kremara क्रेमर
kriptograaphika क्रिप्टोग्राफिक
kraajicheka क्राजिचेक
kaphedereshansa कंफेडेरेशन्स
kauliga कौलिंग
kordaa कोर्दा
kopikara कोपिकर
ko0 को०
kalvina कॉल्विन
kaichiyo कैंचियों
kaiseni कैसेनि
kaiptiva कैप्टिव
kritvaa कृत्वा
kajastaana क़ूज़ेस्तान
kuhna कुह्न
kusumakhora कुसुमखोर
kaasaai कासाइ
kaalaashoka कालाशोक
kaaraabaakha काराबाख़
kaamakandalaa कामकन्दला
kastooreeragana कस्तूरीरंगन
karmaana कर्मान
karu करुँ
karitee करिती
karaaya कराय
karaainaa कराइना
kapholagaava कफोलगांव
kaphaltaa कफल्टा
kaphalanaa कफलना
kanauraa कनौरा
auroraa औरोरा
okojeena ओंकोजीन
ovaraheda ओवरहेड
oresada ओरेसंड
oraleeensa ओरलीएन्स
oba ओब
oja ओज़
pareshansa ऑपरेशन्स
kteviyaa ऑक्टेविया
aiseni ऐसेनि
aidisana ऐडिसन
aidavardsa ऐडवर्ड्स
aiktinaaida ऐक्टिनाइड
aiktana ऐक्टन
eteekseedeta एंटीऑक्सीडेंट
estraapiyaa एस्ट्रापिया
elbarta एल्बर्ट
elthiyaa एल्थिया
eyaraportsa एयरपोर्ट्स
ena0 एन०
ekspektaishana एक्स्पेक्टैशन
eksaemaela एक्सएमएल
ekvairiyama एक्वैरियम
eku एकु
ekarta एकर्ट
veeraana वीरान
adhidarshaka अधिदर्शक
vebasaaeeta वेबसाईट
kanvokeshana कॉन्वोकेशन
vestarna वेस्टर्न
yuddhayaana युद्धयान
shamaa शमा
yuddhayaano युद्धयानों
saacheena साचीन
shikshaamitro शिक्षामित्रों
nikaalanevaalaa निकालनेवाला
sajeevanee संजीवनी
nikaalanevaalee निकालनेवाली
sat सत्
nikaalanevaale निकालनेवाले
satyama सत्यम
santaana सन्तान
mooliyaa मूलियाँ
sannee सन्नी
moolio मूलिओं
sabaa सबा
bhadrajana भद्रजन
saraabora सराबोर
bhadrajano भद्रजनों
sahabhaagee सहभागी
deenhau दीन्हौ
saataa सांता
disaple डिसप्ले
saanidhya सानिध्य
dhanushabhroo धनुषभ्रू
sidhee सिंधी
pavi पवि
seeo सीओ
pavio पविओं
pavitaa पविता
srijita सृजित
sepha सेफ
semestara सेमेस्टर
chaurakarma चौरकर्म
sodiyama सोडियम
raajaseeyataa राजसीयता
solakee सोलंकी
hataashaa हताशा
bataaree बतारीख़
haapuda हापुड़
durgadhamaya दुर्गंधमय
sahateeya संहतीय
honahaara होनहार
granthaavalee ग्रन्थावली
hausale हौसले
eeshvaravaada ईश्वरवाद
eeshvaravaado ईश्वरवादों
eeshvaravaadee ईश्वरवादी
adhidarshana अधिदर्शन
katakaalu कंटकालु
roaasepana रोआंसेपन
purastaata पुरस्तात
dharmaanusaara धर्मानुसार
ekaatmya एकात्म्य
ekaatmyo एकात्म्यों
sikataa सिंकटा
bhraanta भ्रान्त
abhraanta अभ्रान्त
doorvaashtamee दूर्वाष्टमी
gojhaa गोझा
adhabhakta अंधभक्त
gojhe गोझे
ajeeja अजीज
gojho गोझों
ajeya अजेय
adhikaadhika अधिकाधिक
pranata प्रणत
anushasaa अनुशंसा
pranatataa प्रणतता
abu अबु
pranato प्रणतों
abhinetriyo अभिनेत्रियों
gukhoo गुड़ाखू
abhibhoota अभिभूत
ghabaraaoo घबराऊ
amarohaa अमरोहा
gamagama गमगम
avishkaara अविष्कार
gamagamaa गमगमा
umagakaaree उमंगकारी
aatura आतुर
rakshaapatra रक्षापत्र
aadhyaatma आध्यात्म
vyaasaardha व्यासार्ध
iglainda इंग्लैण्ड
thalagreevaa थलग्रीवा
hetvaata हेत्वांत
chhaayaamiti छायामिति
indriyo इन्द्रियों
himadruha हिमद्रुह
iraphana इरफ़ान
kanaseepee कनसीपी
iraphaana इरफान
ujjavalaa उज्जवला
pranayo प्रणयों
utaare उतारे
pranayaa प्रणया
udaaseenataa उदासीनता
pranayee प्रणयी
ethaletiksa एथलेटिक्स
kaamonmaada कामोन्माद
emae एमए
kaamonmaado कामोन्मादों
odha ओढ़
kokilavata कोकिलवत
omaprakaasha ओमप्रकाश
apanetaa अपनेता
kalendara कलेण्डर
devegau देवेगौड़ा
kashto कष्टों
maaladhanee मालधनी
kasbo कस्बों
pranavo प्रणवों
kaarmika कार्मिक
lachchhana लच्छण
deerghanaada दीर्घनाद
kudana कुंदन
kuhaukuhau कुहौकुहौ
kemistree केमिस्ट्री
pranasa प्रणस
karaporeta कॉरपोरेट
paketamanee पॉकेटमनी
kokaa कोका
kadukanasheelataa कंदुकनशीलता
kolabiyaa कोलंबिया
shirovartee शिरोवर्ती
kyoto क्योटो
mulamachee मुलमची
moola3 मूल३
khilauno खिलौनों
jitaashtamee जिताष्टमी
khursheeda खुर्शीद
paadityaheenataa पांडित्यहीनता
khulate खुलते
khookhaara खूंखार
lachchhano लच्छनों
lachchhanaa लच्छना
chakkee चक्की
naitala नैतल
gaardiyana गार्डियन
chaupaala चौपाल
gaardiyano गार्डियनों
chhaanabeena छानबीन
raajyaashrita राज्याश्रित
utthaaneeya उत्थानीय
jagaayaa जगाया
gaarshiyaa गार्शिया
jataate जताते
dhrauvya ध्रौव्य
jadayoo जदयू
dhrauvyo ध्रौव्यों
jabase जबसे
anuvaadakeeya अनुवादकीय
jahareelee जहरीली
anuvaadakeeyo अनुवादकीयों
jalma ज़ुल्म
deerghanaala दीर्घनाल
jaaniye जानिये
beva बेवक़ूफ़
saaeeprasa साईप्रस
jurmaane जुर्माने
timatimaa टिमटिमा
julma जुल्म
timatimaaiyo टिमटिमाइयो
jyotishee ज्योतिषी
timatimaave टिमटिमावे
jhaasaa झांसा
timatimaaee टिमटिमाई
jhuke झुके
timatimaakara टिमटिमाकर
jhelane झेलने
timatimaanaa टिमटिमाना
tootakara टूटकर
timatimaane टिमटिमाने
tveetara ट्वीटर
timatimaataa टिमटिमाता
timatimaatee टिमटिमाती
timatimaate टिमटिमाते
timatimaae टिमटिमाए
takhta तख्त
timatimaaegaa टिमटिमाएगा
thode थोडे
timatimaaegee टिमटिमाएगी
deemaka दीमक
timatimaaege टिमटिमाएँगे
dukho दुखों
timatimaaoo टिमटिमाऊँ
dushprabhaava दुष्प्रभाव
timatimaaoogaa टिमटिमाऊँगा
dohaa दोहा
timatimaaoogee टिमटिमाऊँगी
timatimaaie टिमटिमाइए
timatimaaiegaa टिमटिमाइएगा
naslo नस्लों
timatimaaiegee टिमटिमाइएगी
timatimaao टिमटिमाओ
nilabana निलंबन
timatimaaoge टिमटिमाओगे
netree नेत्री
timatimaaogee टिमटिमाओगी
pakistaana पकिस्तान
padmaavatee पद्मावती
paryaayavaachee पर्यायवाची
paao पाओ
peetanaa पीटना
potaa पोता
polaida पोलैंड
pratikaara प्रतिकार
prabandha प्रबन्ध
phateha फतेह
phaaina फाइन
pheeliga फीलिंग
bajaaraa बंजारा
phaatihaa फातिहा
uthauvaa उठौवा
bappaa बप्पा
baagadora बागडोर
thaalaamoosha थालामूश
bikharee बिखरी
tarjumaa तर्जुमा
bithaakara बिठाकर
tarjume तर्जुमे
beka बेक
tarjumo तर्जुमों
beree बेरी
lekhaanujeevee लेखानुजीवी
ummayado उम्मयदों
uddaa उड्डा
eestamaina ईस्टमैन
eeyarsa ईयर्स
idikama इंडिकॉम
iteegreteda इंटीग्रेटेड
iskee इस्की
ivetsa इवेंट्स
iruvara इरुवर
ipsavicha इप्सविच
ithaakaa इथाका
aaska आस्क
aaraagarna आरागॉर्न
aaraephasee आरएफसी
aandolanakaariyo आन्दोलनकारियों
aajamaayisha आज़मायिश
aaisoniyaajada आइसोनियाज़िड
ataraaprishtha अंतरापृष्ठ
atarapanana अंतरपणन
agrajo अंग्रजों
asagarapura असगरपुर
alana अलन
araauda अराउंड
ayodhyaasiha अयोध्यासिंह
ameechada अमीचंद
amavaa अमवा
abhivaahee अभिवाही
aphagaano अफ़गानों
apagharshaka अपघर्षक
annaamalaai अन्नामलाइ
annaadurai अन्नादुरै
anurekhana अनुरेखण
adabaadee अदबाडी
atisakriyataa अतिसक्रियता
atinootana अतिनूतन
atikailshiyamaraktataa अतिकैल्शियमरक्तता
ajaharuddeena अजहरुद्दीन
akhilendra अखिलेन्द्र
akaamaaee अकामाई
hachukovaa हंचुकोवा
holograama होलोग्राम
helotsa हेलोट्स
herodotasa हेरोडोटस
hebeee हेबेई
heja हेज़
husainaabaada हुसैनाबाद
hartsa हर्ट्स
haradaa हरडा
svabhaave स्वभावें
svatatrataao स्वतंत्रताओं
sprigapheelda स्प्रिंगफील्ड
spaartee स्पार्ती
spaaisajeta स्पाइसजेट
sthaanaata स्थानांत
streetsa स्ट्रीट्स
straaiksa स्ट्राइक्स
stepsa स्टेप्स
stetika स्टेटिक
steevensana स्टीवेन्सन
sayugmita संयुग्मित
kaavyaprakaashakaara काव्यप्रकाशकार
bhatakane भटकने
ashaareerika अशारीरिक
bhooraa भूरा
ashaareerikataa अशारीरिकता
manusmriti मनुस्मृति
matoloo मटोलू
maaigrena माइग्रेन
suraarighna सुरारिघ्न
rookoshikaa रूकोशिका
ragata रंगत
raaso रासो
choraachoree चोराचोरी
rutabaa रुतबा
asataana असंतान
rejimeta रेजिमेंट
teeteneeyama टीटेनीयम
prasphurana प्रस्फुरण
lamhaa लम्हा
prasphurano प्रस्फुरणों
laatheechaarja लाठीचार्ज
vyashaka व्यंशक
ksheerapaakaudana क्षीरपाकौदन
haavaka हावक
laaisaisita लाइसैंसित
vimochana विमोचन
kaibrika कैंब्रिक
tairavaa तैरवा
vega वेग
tairavaaiyo तैरवाइयो
vyajano व्यंजनों
tairavaave तैरवावे
vyoo व्यू
tairavaaee तैरवाई
satoshajanaka संतोषजनक
tairavaakara तैरवाकर
sapaadakeeya संपादकीय
tairavaanaa तैरवाना
satayuga सतयुग
tairavaane तैरवाने
satyanaaraayana सत्यनारायण
tairavaataa तैरवाता
tairavaatee तैरवाती
saamagriyo सामग्रियों
tairavaate तैरवाते
saavata सावंत
tairavaae तैरवाए
sikhaaee सिखाई
tairavaaegaa तैरवाएगा
silaa सिला
tairavaaegee तैरवाएगी
soochi सूचि
saiddhaatika सैद्धांतिक
tairavaaege तैरवाएँगे
svaayatta स्वायत्त
tairavaaoo तैरवाऊँ
tairavaaoogaa तैरवाऊँगा
hataae हटाए
tairavaaoogee तैरवाऊँगी
havaladaara हवलदार
haalaato हालातों
tairavaaie तैरवाइए
helpalaaina हेल्पलाइन
tairavaaiegaa तैरवाइएगा
tairavaaiegee तैरवाइएगी
tairavaao तैरवाओ
tairavaaoge तैरवाओगे
tairavaaogee तैरवाओगी
braikasta ब्रैकफ़ास्ट
adaao अदाओं
kyoobrika क्यूब्रिक
anabhijnya अनभिज्ञ
pachhaanaa पछाड़ना
anaapa अनाप
pachhaane पछाड़ने
apanaaee अपनाई
pachhaano पछाड़नों
abbaasee अब्बासी
saaikaalajee साइकालजी
asambhava असम्भव
lachchhaa लच्छा
aalasya आलस्य
lachchhee लच्छी
aavaahana आवाहन
lachchhe लच्छे
itaaliyana इटालियन
lachchhaae लच्छाएँ
uthaanee उठानी
lachchhaao लच्छाओं
ubharatee उभरती
ektarsa एक्टर्स
svaniyojaka स्वनियोजक
eyaralaaina एयरलाइन
neelapatrikaa नीलपत्रिका
kataaksha कटाक्ष
lachchhi लच्छि
kalloo कल्लू
yotaa योटा
aayotaa आयोटा
kaaranaamo कारनामों
pravaahitata प्रवाहितत
kuja कुंज
apravaahitata अप्रवाहितत
jyota ज्योत
kudarata कुदरत
aprasaadaneeya अप्रसादनीय
abhinnata अभिन्नत
kaimpasa कैम्पस
abhinnataa अभिन्नता
kairolinaa कैरोलिना
ekalakshyagrastataa एकलक्ष्यग्रस्तता
kantraikta कॉन्ट्रैक्ट
chhadakrita छंदकृत
kosta कोस्ट
snehasaara स्नेहसार
khaasataura खासतौर
upanivesheeya उपनिवेशीय
padraka पंड्रक
gathajoda गठजोड़
gaalo गालों
gunaaho गुनाहों
bakareedo बकरीदों
gubbaare गुब्बारे
rakshaapradaana रक्षाप्रदान
daayalemaa डायलेमा
chaturdashee चतुर्दशी
neveegetara नेवीगेटर
neveegetaro नेवीगेटरों
chitaka चिंतक
aruvaa अरुवा
chailejarsa चैलेंजर्स
aruve अरुवे
chhaava छांव
chhaachha छाछ
aruvo अरुवों
janapratinidhi जनप्रतिनिधि
soosaaida सूसाइड
jarjara जर्जर
ekavima एकविम
jalima ज़ालिम
malukaanaa मलुकाना
jeevanashailee जीवनशैली
jedeeesa जेडीएस
padaalo पंडालों
jaikee जैकी
janasana जॉनसन
vaayugrasta वायुग्रस्त
joro जोरों
pachaneeraajana पंचनीराजन
pachaneeraajano पंचनीराजनों
traasaphaarmara ट्रांसफार्मर
vidavaarda विंडवार्ड
thaanee ठानी
nirargala निरर्गल
nirargalataa निरर्गलता
detiga डेटिंग
haavana हावन
haavane हावनें
tabake तबके
haavano हावनों
taaje ताजे
tripta तृप्त
abhidhaaritaa अभिधारिता
nyaayya न्याय्य
nyaayyataa न्याय्यता
dalle दल्ले
dikhaaye दिखाये
shaakaashtamee शाकाष्टमी
digabara दिगंबर
vidyutana विद्युतन
dooriyo दूरियों
lukaatha लुकांठ
drishtigata दृष्टिगत
batvaara बट्वार
daitya दैत्य
svaniyojana स्वनियोजन
daiveeya दैवीय
streedharma स्त्रीधर्म
dausaa दौसा
streedharmo स्त्रीधर्मों
upapuja उपपुंज
risaaladaara रिसालदार
risaaladaaro रिसालदारों
sindhumaataa सिन्धुमाता
samaalochanaasabadhee समालोचनासंबंधी
naadaana नादान
paashakree पाशक्रीड़ा
nita नित
haavara हावर
neetaa नीता
haavaraa हावरा
nekee नेकी
naubata नौबत
nakshadaara नक्शदार
paramparaao परम्पराओं
paacho पांचों
naareendra नारीन्द्र
aashakaaheenata आशंकाहीनतः
paarasee पारसी
jhaakanaa झांकना
purtagaala पुर्तगाल
petee पेटी
legveja लेंग्वेज
pragata प्रगट
raagadaa रांगडा
tavaa तड़ावा
prataadanaa प्रताड़ना
tave तड़ावे
tavo तड़ावों
phaita फैट
mleenataa म्लीनता
praaptavyavahaara प्राप्तव्यवहार
batavaaraa बंटवारा
apraaptavyavahaara अप्राप्तव्यवहार
banaake बनाके
nishchayakaaraka निश्चयकारक
babaloo बबलू
khadakhadaahata खडखडाहट
bargara बर्गर
kakanaala कड़कनाल
basheera बशीर
kakanaale कड़कनालें
baalana बालन
kakanaalo कड़कनालों
boodee बूंदी
aviraamita अविरामित
brijesha बृजेश
aviraamitataa अविरामितता
sapraga संप्रग
sadarbhagrantha संदर्भग्रन्थ
saurabhika सौरभिक
soraabajee सोराबजी
somavashee सोमवंशी
sodaraliga सोडरलिंग
saidalara सैंडलर
sephatee सेफ़्टी
sensa सेन्स
soochakaaksharo सूचकाक्षरों
sooktiyaa सूक्तियाँ
suhaladeva सुहलदेव
sulivaana सुलिवान
sumerapura सुमेरपुर
sundarapura सुन्दरपुर
sunidhee सुनिधी
seemaipa सीमैप
seemetiksa सीमेंटिक्स
seebeedee सीबीडी
seeaara सीआर
sihagada सिंहगड
sirakaara सिरकार
simhaapuree सिम्हापुरी
simatolee सिमतोली
siddikee सिद्दिकी
sidee सिदी
signalo सिग्नलों
sikudana सिकुड़न
saambaa साम्बा
saamanaaveera सामनावीर
saaeelaiba साईलैब
saaidabaida साइडबैंड
sahasri सहस्रि
salimapura सलिमपुर
sarvaprasiddha सर्वप्रसिद्ध
samaanukramana समानुक्रमण
samaanataao समानताओं
samanvayita समन्वयित
samakonika समकोणिक
saptagiri सप्तगिरि
shreemadbhagavadgeetaasoopanishatsu श्रीमद्भगवद्गीतासूपनिषत्सु
shreebhaargavaraaghaveeyam श्रीभार्गवराघवीयम्
shota शोट
shailasamooho शैलसमूहों
sheshana शेषन
shekhoopura शेखूपुर
shivamoorti शिवमूर्ति
shiraaja शिराज़
shahaane शहाणे
shabdotpatti शब्दोत्पत्ति
shataabdi शताब्दि
vhenasaaga व्हेनसांग
vyaadhiyaa व्याधियाँ
vedarabilta वेंडरबिल्ट
vellee वेल्ली
velda वेल्ड
veronikaa वेरोनिका
vedsa वेड्स
vumena वुमेन
vuja वुज़
vishishtataae विशिष्टताएं
vilaasaraava विलासराव
viyara वियर
vimee विमी
viththala विठ्ठल
vikiphaee विकिफ़ाई
vaasavaanee वासवानी
vaarsa वार्स
vaayaa वायां
vaabaasha वाबाश
vaaikigsa वाइकिंग्स
vahuta वहुत
valaa वला
baithaayaa बैठाया
parnotaja पर्णोटज
atagaamee अंतगामी
purogamanasheela पुरोगमनशील
bhookampa भूकम्प
varnarekhaa वर्णरेखा
bhosale भोसले
kachchhapaavaataara कच्छपावातार
magadha मगध
bahugranthi बहुग्रन्थि
majalisa मजलिस
praatakriyaa प्रातःक्रिया
majeethiyaa मजीठिया
yoonipaathaka यूनिपाठक
maneeshaa मनीषा
masaudaa मसौदा
hichakiyaa हिचकियाँ
maharaajagaja महराजगंज
hichakio हिचकिओं
mitaalee मिताली
munnee मुन्नी
sasajjana संसज्जन
sasajjano संसज्जनों
maitrika मैट्रिक
lemaina लेमैन
maidaanee मैदानी
deeghee दीघी
moteelaala मोतीलाल
hichakoo हिचकू
yaapana यापन
sitarudhiraana सितरुधिराण
yoojarsa यूजर्स
dhanurgraaha धनुर्ग्राह
rajanee रजनी
bahuroopie बहुरूपिए
ramajana रमज़ान
pega पेंग
raaidarsa राइडर्स
pego पेंगों
raamaanada रामानंद
pegaa पेंगा
rekha रेख
saadhayata साधयंत
royaa रोया
saadhayataa साधयंता
lajjaa लज्जा
indriyalolupa इन्द्रियलोलुप
laaeeta लाईट
ulkaamaalee उल्कामाली
laachaara लाचार
anubhavapoorna अनुभवपूर्ण
lipatee लिपटी
anubhavapoornataa अनुभवपूर्णता
limita लिमिट
baahikaatarika बाहिकांतरिक
varksa वर्क्स
pecho पेंचों
vipula विपुल
vibhooshana विभूषण
phaanaa फअना
baaseepana बासीपन
chagira चँगिर
visarjita विसर्जित
chagiree चँगिरी
phaidama फैदम
shikshaao शिक्षाओं
ekapratiroopee एकप्रतिरूपी
sakalita संकलित
banakatee बनकटी
sapattiyo संपत्तियों
garajana गरजन
satapaala सतपाल
garajanaa गरजना
garajane गरजने
sampadaa सम्पदा
vidhyartha विध्यर्थ
sikhaataa सिखाता
alulita अलुलित
seekvala सीक्वल
sayatreeya संयंत्रीय
suvara सुवर
peto पेंटों
saiksa सैक्स
svarojagaara स्वरोजगार
nausaadara नौसादर
nausaadaro नौसादरों
haaidrojana हाइड्रोजन
petha पेंठ
hairata हैरत
anapaayipada अनपायिपद
nacheeta नचीत
anacheeta अनचीत
darjarna दर्जर्न
shreepishta श्रीपिष्ट
kavayee कवयी
daavaadola डावाँडोल
nirvedata निर्वेदत
nirvedataa निर्वेदता
pedo पेंदों
pedaa पेंदा
pedee पेंदी
pede पेंदे
poorvakrita पूर्वकृत
aparaahnaata अपराह्नांत
maudaretara मौडरेटर
padmeshaya पद्मेशय
jeevaatu जीवातु
pahachaananaapana पहचाननापन
samurdagaara समुर्दगार
lagaridamika लॉगरिदमिक
gauraaga गौरांग
gauraagaa गौरांगा
gauraagee गौरांगी
gauraagataa गौरांगता
gauraago गौरांगों
nallaa नल्ला
nallee नल्ली
jaatipramukha जातिप्रमुख
akura अंकुर
lamachhada लमछड
ajali अंजलि
grido ग्रिडों
anaadi अनादि
apunarrachita अपुनर्रचित
anaupachaarika अनौपचारिक
smaranata स्मरणत
ahisaka अहिंसक
gabheeree गंभीरी
harjegovinaa हर्जेगोविना
aadhunikeekarana आधुनिकीकरण
aalhaa आल्हा
aasaara आसार
kantraikto कॉन्ट्रैक्टों
ibne इब्ने
baaisana बाइसन
ishaata इशांत
isaaee इसाई
staipnee स्टैप्नी
yajnyarataa यज्ञरता
kaudaalika कौदालिक
ulate उलटे
yonimukha योनिमुख
ekabaara एकबार
avapeeka अवपीड़क
avapeekataa अवपीड़कता
kanektivitee कनेक्टिविटी
kanyaakumaaree कन्याकुमारी
avapeeko अवपीड़कों
prakshepaastra प्रक्षेपास्त्र
kalarsa कलर्स
pratiprakshepaastra प्रतिप्रक्षेपास्त्र
prakshepaastro प्रक्षेपास्त्रों
pratiprakshepaastro प्रतिप्रक्षेपास्त्रों
maalaakada मालाकद
kutuba कुतुब
rudhiravaahinee रुधिरवाहिनी
kesariyaa केसरिया
durgadvaara दुर्गद्वार
nausaara नौसार
kshaya क्षय
nausaaree नौसारी
khalabalee खलबली
pavanasuta पवनसुत
khamoshee ख़ामोशी
pavanasuto पवनसुतों
khaaoogaa खाऊंगा
kaaniga कानिंग
hetumaana हेतुमान
gaharaaiyo गहराइयों
hetumaano हेतुमानों
ginee गिनी
aprasanataa अप्रसऩ्नता
gilaanee गिलानी
karavaachautha करवाचौथ
karavaachauthe करवाचौथें
grihasthee गृहस्थी
karavaachautho करवाचौथों
ghisa घिस
kriyaasakraati क्रियासंक्रांति
chachaa चचा
taarakita तारकित
gripa ग्रिप
spaadaa स्पाडा
jaatiyaa जातियां
aviha अविहड़
jeeraa जीरा
painamaa पैनमा
jhajhata झंझट
urina उऋण
jholaa झोला
urinataa उऋणता
teeke टीके
daakaghara डाकघर
granthaantara ग्रन्थान्तर
dubo डुबो
barishee बरिशी
devalapara डेवलपर
anuvatta अणुवत्त
mahaavyaadhi महाव्याधि
grima ग्रिम
kausavarda कौसवर्ड
tiktasaara तिक्तसार
trivenee त्रिवेणी
kuvaariyo कुवारियों
therepee थेरेपी
ayathaarthavaadee अयथार्थवादी
thamasa थॉमस
atiyathaarthavaadee अतियथार्थवादी
anadabalaa अनदबला
daasee दासी
maalaakara मालाकर
dihaada दिहाड़ी
vrindavaadyakaara वृन्दवाद्यकार
doona दून
doorastha दूरस्थ
shashikhanda शशिखण्ड
deya देय
heraka हेरक
dehaatee देहाती
gonihaara गोनिहार
dhvaniyo ध्वनियों
areekaa अफ़रीका
naaitrojana नाइट्रोजन
sprigadaara स्प्रिंगदार
naachane नाचने
naaja नाज़
griva ग्रिव
nisaara निसार
lokalipi लोकलिपि
needaralaida नीदरलैंड
notaa नोटा
akriyakarana अक्रियकरण
padee पडी
shileedhara शिलींधर
parivartano परिवर्तनों
jhaavaa झावाँ
paryavekshaka पर्यवेक्षक
sajnyaakara संज्ञाकर
lukasaa लुकसाज़
pukhtaa पुख्ता
puraatana पुरातन
avapeena अवपीड़न
poorvaagraha पूर्वाग्रह
avapeeno अवपीड़नों
peteta पेटेंट
atarbhaavita अंतर्भावित
vardaasko वर्डास्को
vanyajeevana वन्यजीवन
vatsaraaja वत्सराज
vagaraha वग़ैरह
laisadaauna लैंसडाउन
laimbetha लैम्बेथ
laalabaaga लालबाग़
laalagudee लालगुडी
laainaksa लाइनक्स
ladakapana लड़कपन
lagjambarga लग्ज़म्बर्ग
lakshmeejee लक्ष्मीजी
ragaasvaamee रंगास्वामी
rolabaikarsa रोलबैकर्स
rojaja रोज़ेज़
repharesa रेफरेंस
rekhaachhidra रेखाछिद्र
roopakuda रूपकुंड
ruhelakhanda रुहेलखण्ड
rupye रुप्ये
reeleeja रीलीज़
rivarasaaida रिवरसाइड
rimee रिमी
raayaphalsa रायफल्स
raamachandrajee रामचन्द्रजी
raajama राजम
raajanaaraayana राजनारायण
rasaayanako रसायनकों
rapheegaja रफीगंज
rapheeka रफीक
yoko योको
yuddhottara युद्धोत्तर
yugaandaa युगाण्डा
yaagtseekyaaga यांग्त्सीक्यांग
mhanoona म्हणून
mhanitale म्हणितलें
mratyu म्रत्यु
maduaadeeha मंडुआडीह
majilee मंजिली
maujija मौजिज़े
maisaachoositsa मैसाचूसिट्स
mainiga मैनिंग
mejanaaina मेज़ानाइन
moorre मूर्रे
mukhadvaara मुखद्वार
miliyaneyara मिलियनेयर
milaphorda मिलफोर्ड
mitraala मित्राल
maavelee मावेली
maalaanee मालानी
